Year/Qrt,National,Dublin,Cork,Galway,Limerick,Waterford,Other Areas
1997Q1,91272,113221,80479,89317,75120,69009,79051
1997Q2,99104,126649,85934,98812,77714,68905,83465
1997Q3,103176,134028,89876,107415,73403,72574,86565
1997Q4,116087,152811,95327,109096,85848,85101,95459
1998Q1,117472,152973,104247,117800,95298,88205,99474
1998Q2,130268,173503,110360,130255,94282,94508,107886
1998Q3,140797,191159,110558,125791,98809,92644,115141
1998Q4,147628,191163,117576,136119,99489,101497,124640
1999Q1,152328,192758,124891,136475,110000,99987,126762
1999Q2,157243,204194,131244,139255,112711,114122,130330
1999Q3,167993,221535,148046,145287,122724,119482,140461
1999Q4,174379,233598,153014,165296,127694,125294,142292
2000Q1,173417,225724,160435,161319,131053,126248,146231
2000Q2,189361,249719,165773,165762,134959,140477,156024
2000Q3,197531,256452,175498,170165,149494,143671,166804
2000Q4,198777,258738,175587,174044,145854,162353,164528
2001Q1,160326,205866,141482,144600,121052,123392,133576
2001Q2,168364,223651,142646,156940,131091,128198,137551
2001Q3,161292,213380,141969,149088,125582,120597,136771
2001Q4,159137,209596,142271,154449,119221,124622,132999
2002Q1,213640,278817,185381,195799,164429,162456,177577
2002Q2,226626,301631,195535,199844,175522,167347,192565
2002Q3,228692,306239,204797,210034,170678,175227,197546
2002Q4,240114,324638,215731,224953,180840,184113,201566
2003Q1,242723,329300,215227,233511,188046,185525,207105
2003Q2,268140,379768,233436,256177,193456,202552,216044
2003Q3,266973,359316,260295,243091,209914,207782,222135
2003Q4,278309,381345,250066,266968,212827,210076,228624
2004Q1,273509,370643,246558,271052,198473,214998,225517
2004Q2,303148,415432,273499,286055,239118,213310,235738
2004Q3,292411,394165,280282,282578,209813,226925,238278
2004Q4,310191,427333,279365,272085,229235,230159,247238
2005Q1,305730,418750,279670,304673,212343,241153,244549
2005Q2,333279,459461,304386,310908,246299,249139,263474
2005Q3,327971,446626,312253,327641,229540,256066,267531
2005Q4,349606,494049,326392,332241,233396,263425,276074
2006Q1,343985,489678,320927,328070,250541,259801,276115
2006Q2,383066,551353,368536,330215,256756,283113,294281
2006Q3,396232,591316,371790,347935,265680,292508,309446
2006Q4,380310,554909,357559,338196,255780,291607,307552
2007Q1,384882,555163,379557,343323,272256,298147,304355
2007Q2,393511,543785,361229,345245,261560,283340,336764
2007Q3,379500,527396,375341,375679,293960,287169,312306
2007Q4,374782,498278,378303,328340,283081,286790,313296
2008Q1,369170,510402,349137,371869,263931,297691,301188
2008Q2,363208,485973,348640,343512,261794,292217,310411
2008Q3,342878,439333,340032,315801,261775,304210,302819
2008Q4,327673,443062,327019,321430,245718,207521,280280
2009Q1,301333,402779,260014,261813,198456,236083,245594
2009Q2,290510,383773,253888,284232,206563,241272,226651
2009Q3,258309,329741,223543,222231,174785,202429,212256
2009Q4,248246,305934,231512,251005,186644,180471,205176
2010Q1,250237,305725,222488,223000,195714,167096,201511
2010Q2,284498,366716,271050,248102,219981,175494,217185
2010Q3,285435,377352,248438,245911,213134,221534,218320
2010Q4,278346,370801,251201,220696,227708,205179,212465
2011Q1,281348,370719,256271,200486,199917,198107,215309
2011Q2,281459,365601,231482,233953,219730,205355,213904
2011Q3,258339,332450,226502,226139,219076,187440,197395
2011Q4,251932,329496,225245,213500,191049,171468,184698
2012Q1,254156,333963,226373,213637,199106,186066,184044
2012Q2,258400,334204,229626,216720,190358,169572,195617
2012Q3,257423,341292,216006,204247,220705,169226,186068
2012Q4,250343,339843,216689,208706,174920,165025,179227
2013Q1,252224,350696,209267,204559,186036,155280,178253
2013Q2,267977,375437,219983,200973,199649,163481,177162
2013Q3,263289,376548,212575,206756,176798,186640,176540
2013Q4,265670,385208,215201,214024,162939,158363,179372
2014Q1,261084,378175,198178,209147,168824,179299,181526
2014Q2,279240,407533,207548,223691,174092,185588,185304
2014Q3,271801,362315,224586,207440,187149,155564,189711
2014Q4,261893,340712,219702,192236,170155,176700,188164
2015Q1,265616,335025,213543,204055,184504,174635,198823
2015Q2,273816,357959,225516,213298,171125,168188,202762
2015Q3,274336,350276,235455,207913,180868,173199,207434
2015Q4,271353,357195,232210,213080,180119,170303,199616
2016Q1,270316,348748,236801,205380,194288,176476,200554
